OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
592,2023,AET,1481,2575,651,662,22234,2653
593,2023,RBY,1476,3375,792,794,6739,5908
594,2023,PIZ,1470,1543,616,624,13347,3418
595,2023,KMO,1465,1804,898,899,4580,8450
596,2023,A43,1356,1301,1115,1125,184476,24753
597,2023,TLA,1333,2968,820,819,19055,3940
598,2023,TKF,1329,1329,362,363,0,0
599,2023,DRG,1322,3041,826,826,22675,2725
600,2023,WMO,1307,3504,939,941,27243,4694
601,2023,BKL,1296,1296,29,31,65616,0
602,2023,BAF,1247,1247,22,22,0,0
603,2023,PEC,1227,1247,530,531,49631,5272
604,2023,NME,1225,2155,951,948,4381,13302
605,2023,ORI,1213,1249,895,895,1749,4064
606,2023,KQA,1209,1209,1067,1055,21446,0
607,2023,BNH,1206,1207,318,281,0,0
608,2023,KOZ,1190,1258,938,936,950,1843
609,2023,MYU,1180,1227,468,468,25777,4894
610,2023,VCV,1155,1155,27,29,13310,0
611,2023,MQY,1150,1150,453,465,36778,0
612,2023,BVU,1122,1208,804,943,52974,472
613,2023,PKA,1117,1151,867,867,1502,6402
614,2023,WAA,1111,2277,691,691,23993,1499
615,2023,NIB,1079,1118,321,322,34157,580
616,2023,HUS,1050,1861,461,470,11964,936
617,2023,FYV,1037,1037,21,23,0,0
618,2023,POB,1032,1032,17,7,3395,0
619,2023,BWG,1017,1017,34,34,42577,0
620,2023,SXP,999,1690,1318,1318,16574,3217
621,2023,OBU,965,2866,751,750,28046,5220
622,2023,WBQ,912,1051,393,397,6445,1090
623,2023,KGK,908,1457,671,671,3461,2358
624,2023,GNU,902,929,953,954,6518,7397
625,2023,HKY,898,898,9,9,7074,0
626,2023,LKK,835,835,310,278,18036,0
627,2023,KYU,792,1374,348,353,2767,1846
628,2023,DHB,789,832,304,321,0,0
629,2023,EGX,778,893,583,582,187546,3644
630,2023,LPS,774,811,312,284,0,0
631,2023,PPC,740,753,173,188,3965,0
632,2023,WSX,722,758,350,361,0,0
633,2023,YNG,690,1137,13,14,0,0
634,2023,GBH,688,704,85,87,1090,0
635,2023,MMU,652,655,118,111,0,0
636,2023,AKK,651,689,376,373,2107,365
637,2023,CIK,622,927,235,235,4926,2509
638,2023,INT,603,603,30,34,0,0
639,2023,EAA,579,599,257,255,4920,1834
640,2023,TWA,577,1721,571,571,1820,3124
641,2023,KVC,568,569,436,436,5429,26655
642,2023,N1C,567,567,9,14,0,0
643,2023,RMP,554,770,339,336,5022,543
644,2023,TEK,549,549,233,231,18083,798
645,2023,KNB,537,537,45,,0,0
646,2023,KEK,523,1362,588,588,3634,2353
647,2023,NCN,521,521,192,192,10058,512
648,2023,BCT,504,504,124,118,0,0
649,2023,FOK,496,496,173,193,0,0
650,2023,MTM,493,499,812,816,3443,19912
651,2023,TKJ,486,504,434,433,47421,14257
652,2023,PTU,485,508,436,437,4080,16388
653,2023,TCT,468,485,195,196,6850,1747
654,2023,TKE,451,750,354,358,3517,5553
655,2023,UXR,444,444,43,44,0,0
656,2023,NNL,444,444,362,364,11810,12946
657,2023,PTH,443,805,478,478,3375,2663
658,2023,CEF,432,529,11,9,0,0
659,2023,NPT,428,428,111,116,0,0
660,2023,CWF,421,421,3,3,0,0
661,2023,PTK,419,419,253,269,73819,0
662,2023,ELV,412,452,264,265,391,2149
663,2023,RIL,407,412,69,72,0,0
664,2023,CLP,402,1040,473,472,471,1188
665,2023,TN8,398,398,83,84,0,0
666,2023,DGB,388,393,386,398,0,0
667,2023,HUF,375,375,9,8,2145,0
668,2023,KGX,351,445,457,459,3560,2660
669,2023,HCR,346,468,484,484,11272,4711
670,2023,ANV,343,475,273,274,12596,3061
671,2023,SCF,336,343,108,108,0,0
672,2023,HIF,318,318,5,4,3355,0
673,2023,AKB,318,319,193,194,2163,2230
674,2023,PBK,312,313,118,122,0,0
675,2023,IKV,311,311,2,2,0,0
676,2023,T4X,304,304,14,17,0,0
677,2023,VOK,304,304,4,,0,0
678,2023,GKN,303,308,337,367,10830,49710
679,2023,KYK,293,316,240,240,389,1393
680,2023,KBC,284,788,220,220,3834,1222
681,2023,MDH,279,279,36,36,0,0
682,2023,HSH,276,276,92,88,0,0
683,2023,SVS,274,551,200,203,1869,313
684,2023,STG,274,293,222,222,4981,1618
685,2023,DQK,257,257,4,5,0,0
686,2023,JZE,251,262,267,267,13630,0
687,2023,IRC,247,351,255,255,601,1441
688,2023,OWD,235,235,68,72,0,0
689,2023,MTO,235,235,3,3,0,0
690,2023,VZY,226,226,20,20,11120,0
691,2023,IGG,226,244,278,277,420,601
692,2023,SHX,223,326,352,352,11122,1207
693,2023,HOP,221,223,4,6,6019,0
