Bus,busmap
12226,US0 30
12227,US0 42
12229,US0 46
12231,US0 42
12233,US0 25
12234,US0 25
12236,US0 29
12238,US0 30
12239,US0 81
1224,US0 57
12240,US0 28
12241,US0 81
12243,US0 81
12244,US0 81
12245,US0 30
12246,US0 30
12247,US0 30
12249,US0 3
12250,US0 81
12251,US0 35
12252,US0 35
12253,US0 42
12254,US0 96
12255,US0 34
12257,US0 49
12259,US0 44
1226,US0 27
12260,US0 49
12262,US0 44
12263,US0 52
12264,US0 42
12265,US0 52
12266,US0 7
12269,US0 81
12270,US0 2
12273,US0 11
12274,US0 36
12276,US0 36
12279,US0 36
12282,US0 36
12285,US0 36
12286,US0 36
12287,US0 27
12288,US0 27
1229,US0 27
12290,US0 27
12292,US0 36
12295,US0 27
12296,US0 27
12299,US0 2
12301,US0 2
12302,US0 5
12303,US0 5
12304,US0 81
12305,US0 49
12308,US0 30
1231,US0 52
12310,US0 49
12313,US0 5
12314,US0 5
12315,US0 49
12316,US0 49
12318,US0 5
1232,US0 27
12320,US0 49
12321,US0 49
12322,US0 49
12323,US0 72
12326,US0 35
12328,US0 35
12329,US0 49
1233,US0 96
12331,US0 35
12332,US0 35
12334,US0 35
12335,US0 35
12336,US0 35
12337,US0 35
12339,US0 36
12340,US0 35
12341,US0 49
12342,US0 49
12344,US0 53
12345,US0 49
12347,US0 30
12349,US0 30
12354,US0 33
12355,US0 30
12356,US0 30
12357,US0 47
12358,US0 83
12359,US0 83
1236,US0 52
12360,US0 83
12361,US0 53
12364,US0 30
12366,US0 30
12368,US0 30
12370,US0 2
12371,US0 2
12372,US0 2
12374,US0 2
12376,US0 2
12377,US0 2
12378,US0 2
12379,US0 2
1238,US0 51
12380,US0 71
12382,US0 90
12383,US0 30
12385,US0 49
12386,US0 32
12389,US0 30
12390,US0 27
12393,US0 57
12394,US0 57
12395,US0 57
12396,US0 96
12397,US0 0
12398,US0 96
12399,US0 52
12401,US0 27
12402,US0 72
12404,US0 33
12406,US0 27
12407,US0 72
12408,US0 27
12409,US0 0
12410,US0 0
12413,US0 27
12414,US0 0
12415,US0 27
12416,US0 0
12417,US0 27
12419,US0 52
1242,US0 52
12420,US0 27
12421,US0 52
12423,US0 57
12425,US0 57
12426,US0 30
12427,US0 52
